user_id_r,first_request_time,first_pickup_time
264.0,09:31:27,09:32:38
306.0,13:53:15,14:00:23
347.0,12:31:33,12:33:46
372.0,09:46:44,09:48:03
492.0,13:35:34,13:37:13
529.0,08:21:33,08:27:00
563.0,06:38:46,06:40:05
581.0,09:31:43,09:33:18
668.0,09:31:43,09:32:30
719.0,08:15:54,08:18:49
759.0,09:49:11,09:50:49
857.0,07:14:38,07:17:23
927.0,11:13:28,11:15:46
1018.0,13:30:29,15:29:25
1108.0,09:31:25,09:33:21
1215.0,11:58:17,11:59:55
1275.0,07:00:15,07:01:22
1306.0,14:03:20,14:04:56
1312.0,15:15:01,15:16:03
1326.0,07:03:26,07:05:44
1371.0,07:49:40,07:51:09
1380.0,15:55:41,15:57:17
1381.0,12:48:40,16:10:27
1384.0,16:43:58,16:46:19
1388.0,11:04:50,11:06:47
1427.0,09:24:57,09:25:25
1509.0,16:46:00,16:49:16
1594.0,09:31:30,09:32:04
1642.0,11:01:22,11:05:06
1687.0,12:51:11,12:54:22
1692.0,10:15:40,10:19:43
1712.0,09:31:21,09:32:22
1717.0,09:31:33,09:33:19
1990.0,09:41:29,09:44:00
2074.0,13:57:31,13:58:59
2076.0,16:27:34,16:28:58
2157.0,09:31:35,09:33:57
2223.0,17:22:22,17:23:39
2246.0,11:49:42,11:51:48
2279.0,09:35:48,09:37:54
2490.0,15:51:57,15:54:35
2654.0,09:31:25,09:31:54
2707.0,15:59:55,16:03:37
2744.0,09:32:52,09:35:59
2782.0,09:31:19,09:32:25
2802.0,09:31:32,09:32:08
2853.0,16:57:32,16:59:03
2955.0,12:29:49,12:31:40
3015.0,14:54:32,14:55:15
3032.0,08:10:34,19:06:02
3207.0,15:04:00,15:05:58
3274.0,11:16:30,11:21:00
3322.0,13:02:39,13:04:10
3325.0,09:43:51,09:44:56
3390.0,14:57:35,14:58:38
3507.0,09:31:38,12:56:16
3547.0,13:09:36,13:11:09
3660.0,09:31:09,09:34:11
3821.0,14:04:02,14:05:31
3834.0,17:12:03,17:12:22
3884.0,13:32:23,13:33:30
4002.0,06:53:57,07:01:04
4060.0,07:29:20,07:29:59
4245.0,11:55:49,11:56:48
4293.0,09:31:45,09:32:38
4496.0,14:06:24,14:08:46
4626.0,09:28:20,09:29:05
4642.0,09:31:39,15:19:59
4687.0,07:39:06,07:40:02
4818.0,09:31:34,09:33:02
4867.0,12:53:21,12:55:59
5010.0,09:31:25,09:34:10
5076.0,13:10:20,13:11:14
5244.0,13:49:34,13:52:28
5373.0,12:18:41,12:19:20
5399.0,09:31:23,09:34:39
5576.0,09:31:15,09:32:38
5720.0,16:57:29,16:59:24
6016.0,09:07:06,09:07:45
6124.0,15:33:14,15:34:52
6202.0,14:19:48,14:20:24
6301.0,15:44:06,15:45:39
6502.0,18:16:53,18:18:23
6540.0,16:53:51,16:54:52
6862.0,09:31:25,09:33:26
6921.0,16:44:47,16:45:07
6947.0,20:03:45,20:04:38
6978.0,12:43:01,12:43:33
7213.0,08:57:59,09:00:28
7294.0,10:11:42,10:12:45
7325.0,09:31:29,09:34:19
7510.0,12:27:54,20:52:48
7567.0,09:31:24,09:32:10
7620.0,02:23:20,02:24:54
7634.0,10:33:26,10:34:41
7677.0,19:48:23,19:49:23
7809.0,12:50:25,12:52:01
7912.0,17:34:02,17:36:35
7942.0,17:46:34,17:47:26
8021.0,11:20:17,11:23:42
8043.0,09:31:18,09:33:29
8532.0,09:31:25,14:38:25
8789.0,09:29:06,09:30:43
8801.0,18:59:12,19:01:24
8829.0,09:31:33,09:32:23
8876.0,06:19:04,13:30:22
9003.0,11:22:28,11:23:58
9202.0,14:58:38,15:01:09
9241.0,14:31:41,14:32:52
9272.0,12:32:16,12:35:37
9280.0,19:58:13,20:01:41
9535.0,12:08:41,12:10:34
9875.0,13:13:05,13:19:39
9879.0,09:14:39,09:16:20
9918.0,09:31:32,09:33:03
9956.0,16:03:45,16:08:17
9962.0,10:18:22,10:19:16
10033.0,14:54:27,14:55:49
10067.0,05:37:30,05:40:41
10237.0,09:31:17,09:31:38
10276.0,11:29:39,11:30:29
10420.0,09:52:52,09:54:05
10440.0,07:21:00,07:25:35
10559.0,09:31:34,09:36:16
10573.0,15:52:32,15:52:57
10636.0,15:43:54,15:44:22
10843.0,09:31:30,09:32:28
10858.0,09:31:25,09:32:07
10868.0,09:31:24,09:33:12
10992.0,05:06:30,05:09:51
11018.0,11:44:35,11:45:34
11161.0,09:31:26,09:32:17
11284.0,14:51:56,14:54:01
11594.0,14:15:50,14:16:18
11611.0,19:43:51,19:45:10
11684.0,10:36:13,10:38:43
11833.0,11:46:33,11:48:38
11906.0,08:39:49,08:40:17
11931.0,10:10:15,10:10:55
12205.0,09:31:43,09:33:58
12248.0,09:31:32,09:33:42
12318.0,10:33:09,10:33:40
12617.0,10:47:11,10:48:30
12946.0,09:31:36,09:34:44
12957.0,08:20:34,08:23:44
12969.0,09:09:16,09:09:39
13112.0,14:56:56,14:58:25
13184.0,10:05:17,10:05:49
13225.0,08:42:53,08:45:53
13247.0,08:25:25,08:26:22
13261.0,11:54:32,11:57:11
13290.0,10:53:47,10:56:33
13293.0,07:23:23,07:23:43
13353.0,09:03:55,09:05:49
13439.0,15:56:15,15:56:40
13464.0,06:21:20,06:24:25
13523.0,09:18:37,09:19:50
13757.0,18:23:44,18:24:55
13761.0,19:27:38,19:28:54
13819.0,09:30:31,09:31:31
13851.0,19:57:34,19:59:38
13858.0,09:24:12,09:24:45
13957.0,08:05:20,08:06:54
14040.0,09:39:55,09:41:52
14053.0,12:21:07,12:21:26
14102.0,09:31:20,09:31:51
14103.0,09:31:44,09:32:13
14110.0,09:31:41,09:35:05
14199.0,12:15:15,12:17:03
14266.0,19:20:07,19:21:06
14335.0,15:06:00,15:09:29
14502.0,09:31:37,09:35:05
14517.0,09:31:17,09:32:22
14524.0,12:02:40,12:03:37
14579.0,02:31:51,02:33:41
14599.0,13:18:37,13:21:04
14620.0,08:15:54,08:18:21
14665.0,14:26:18,14:29:00
14743.0,00:15:24,03:05:54
14757.0,14:06:13,14:07:03
14823.0,17:43:24,17:47:20
14860.0,12:12:08,12:14:43
14877.0,10:54:04,10:55:10
14957.0,09:30:57,09:31:54
14958.0,09:31:30,09:32:54
14963.0,09:31:28,09:33:35
14987.0,15:02:50,15:03:52
14995.0,10:14:45,10:15:18
15077.0,13:38:37,13:40:57
15112.0,10:21:14,10:22:28
15132.0,14:04:32,14:06:02
15185.0,11:28:45,11:29:15
15219.0,04:58:29,05:03:54
15227.0,11:08:03,11:08:32
15231.0,08:31:14,08:33:18
15240.0,19:13:26,19:15:10
15257.0,18:14:40,18:15:02
15389.0,11:35:56,11:37:08
15439.0,16:09:58,16:10:54
15443.0,14:32:51,14:37:22
15456.0,14:56:56,15:00:00
15471.0,09:51:59,09:53:32
15497.0,15:40:34,15:43:41
15521.0,12:42:49,12:50:29
15560.0,13:01:51,13:03:21
15601.0,12:33:39,12:34:20
15617.0,14:29:08,14:32:16
15620.0,18:16:36,18:17:58
15628.0,11:06:26,11:08:10
15656.0,07:01:50,07:04:11
15661.0,08:53:53,08:55:33
15667.0,11:34:47,11:36:13
15682.0,13:21:02,13:22:20
15683.0,09:54:36,09:55:29
15701.0,08:30:54,08:35:54
15705.0,05:39:31,05:41:48
15709.0,17:54:59,17:55:52
15718.0,09:31:24,09:33:21
15730.0,07:42:47,07:51:50
15739.0,09:41:31,09:43:17
15754.0,09:31:25,13:51:28
15767.0,09:16:38,09:20:25
15774.0,09:31:36,16:18:49
15778.0,12:05:28,12:07:03
15786.0,10:11:32,10:12:05
15810.0,08:39:33,08:40:01
15825.0,18:44:22,18:47:35
15837.0,17:27:26,17:29:27
15841.0,11:59:18,12:00:00
15845.0,09:33:30,09:34:57
15847.0,11:48:29,11:49:57
15850.0,16:51:40,16:53:35
15858.0,16:35:57,16:36:54
15864.0,11:31:39,11:33:55
15869.0,09:59:53,10:01:33
15874.0,17:36:53,17:37:18
15893.0,16:44:04,16:44:30
15897.0,15:30:14,15:32:37
15903.0,10:12:49,10:16:25
15906.0,12:27:40,12:29:10
15908.0,18:30:28,18:32:14
15909.0,10:36:32,10:38:11
15916.0,17:05:45,17:06:34
15924.0,13:33:37,13:35:38
16165.0,10:51:38,10:55:44
16167.0,08:08:34,08:09:02
16168.0,07:07:14,07:07:33
16169.0,10:47:26,10:50:10
16172.0,15:55:07,15:57:35
16177.0,11:37:17,11:37:47
16178.0,16:46:47,16:47:44
16180.0,17:47:55,17:49:50
16183.0,17:22:02,17:23:59
16185.0,14:26:51,14:27:43
16186.0,14:48:35,14:49:27
16191.0,08:37:44,08:40:47
16200.0,07:46:52,07:47:45
16203.0,11:14:27,11:15:28
16206.0,17:54:02,17:55:06
16213.0,09:37:41,09:38:13
16216.0,15:38:42,15:39:51
16222.0,16:39:46,16:40:17
